|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 32, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 33, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 34, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 35, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 36, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 37, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 38, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 39, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 40, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 41, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 42, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 43, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 44, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 45, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 46, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 47, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 48, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 49, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 50, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 51, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 52, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 53, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 54, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 55, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 56, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 57, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 58, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 59, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 60, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 61, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 62, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 63, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 64, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.734|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 65, api: Vulkan, type: CommandBuffer
|30536| 36976|12:05:53.735|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 66, api: Vulkan, type: Sampler
|30536| 36976|12:05:53.735|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 67, api: Vulkan, type: DescriptorSetLayout
|30536| 36976|12:05:53.735|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 68, api: Vulkan, type: DescriptorSetLayout
|30536| 36976|12:05:53.735|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 69, api: Vulkan, type: DescriptorSetLayout
|30536| 36976|12:05:53.735|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 71, api: Vulkan, type: DescriptorSet
|30536| 36976|12:05:53.735|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 70, api: Vulkan, type: DescriptorPool
|30536| 36976|12:05:53.735|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 73, api: Vulkan, type: DescriptorSet
|30536| 36976|12:05:53.735|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 72, api: Vulkan, type: DescriptorPool
|30536| 36976|12:05:53.737|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 74, api: Vulkan, type: PipelineLayout
|30536| 36976|12:05:53.737|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 75, api: Vulkan, type: PipelineLayout
|30536| 36976|12:06:27.980|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 76, api: Vulkan, type: Pipeline
|30536| 36976|12:07:13.050|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 77, api: Vulkan, type: Pipeline
|30536| 36976|12:07:45.752|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 78, api: Vulkan, type: Pipeline
|30536| 36976|12:08:31.699|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 79, api: Vulkan, type: Pipeline
|30536| 36976|12:08:31.701|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 80, api: Vulkan, type: PipelineLayout
|30536| 36976|12:08:31.701|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 81, api: Vulkan, type: PipelineLayout
|30536| 36976|12:09:04.658|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 82, api: Vulkan, type: Pipeline
|30536| 36976|12:09:51.374|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 83, api: Vulkan, type: Pipeline
|30536| 36976|12:10:24.556|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 84, api: Vulkan, type: Pipeline
|30536| 36976|12:11:11.846|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 85, api: Vulkan, type: Pipeline
|30536| 36976|12:11:11.848|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 86, api: Vulkan, type: PipelineLayout
|30536| 36976|12:11:11.848|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 87, api: Vulkan, type: PipelineLayout
|30536| 36976|12:11:43.300|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 88, api: Vulkan, type: Pipeline
|30536| 36976|12:12:28.340|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 89, api: Vulkan, type: Pipeline
|30536| 36976|12:13:00.275|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 90, api: Vulkan, type: Pipeline
|30536| 36976|12:13:45.409|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 91, api: Vulkan, type: Pipeline
|30536| 36976|12:13:45.411|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 92, api: Vulkan, type: PipelineLayout
|30536| 36976|12:13:50.929|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 93, api: Vulkan, type: Pipeline
|30536| 36976|12:13:50.961|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 94, api: Vulkan, type: PipelineLayout
|30536| 36976|12:13:50.964|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 95, api: Vulkan, type: Pipeline
|30536| 36976|12:13:51.183|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 96, api: Vulkan, type: Semaphore
|30536| 36976|12:13:51.184|inf:50 |                                    :45    |   pylon_usermessage>> [UserMessage] Overriding image usage flags to remove VK_IMAGE_USAGE_TRANSIENT_ATTACHMENT_BIT so image data can be captured
|30536| 36976|12:13:51.184|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 97, api: Vulkan, type: Image
|30536| 36976|12:13:51.184|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 98, api: Vulkan, type: Image
|30536| 36976|12:13:51.184|inf:50 |                                    :409   |       pylon_capture>> Adding capture/replay support to memory
|30536| 36976|12:13:51.185|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 99, api: Vulkan, type: DeviceMemory
|30536| 36976|12:13:51.199|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 100, api: Vulkan, type: ImageView
|30536| 36976|12:13:51.199|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 101, api: Vulkan, type: ImageView
|30536| 36976|12:13:51.199|inf:50 |                                    :36    | pylon_vobj_lifetime>> [Initialize] uid: 102, api: Vulkan, type: Image
